日付,Unnamed: 1,Unnamed: 2
2023-02-01水,1.8km /11分 9.9km/h(6'03/km) 通勤ジョッグ,1.8km /11分
2023-02-02木,9.6km /53分 11.0km/h(5'28/km) 夜ジョッグ（赤池～浅田西～蟹甲～折戸）Evoride,9.6km /53分
2023-02-03金,2km /12分 9.7km/h(6'10/km) 通勤ジョッグ,2km /12分
2023-02-04土,20.8km /124分 10.1km/h(5'57/km) 夕方ジョッグ（洲原池周辺探訪ジョッグ～トヨタ自動車高岡工場～）Evoride,20.8km /124分
2023-02-05日,20.8km /116分 10.7km/h(5'34/km) 夕方ジョッグ（勅使池周辺探訪ジョッグ～楽の湯～）Sortie(旧),20.8km /116分
週合計,,55km /5時間15分
2023-02-06月,2km /12分 9.6km/h(6'13/km) 通勤ジョッグ,2km /12分
2023-02-07火,2km /13分 9.0km/h(6'42/km) 通勤ジョッグ,2km /13分
2023-02-08水,1.9km /12分 9.8km/h(6'06/km) 通勤ジョッグ,1.9km /12分
2023-02-09木,1.9km /12分 9.9km/h(6'03/km) 通勤ジョッグ,1.9km /12分
2023-02-10金,,
2023-02-11土,20.4km /119分 10.3km/h(5'50/km) 朝ジョッグ（平成展望台～日進総合運動公園）Sortie(旧),20.4km /119分
2023-02-12日,3.7km /22分 10.0km/h(6'00/km) 夕方ジョッグ（勅使池までで電池切れ、TATTAスマフォ計測に続く）Sortie(旧) 13.6km /77分 10.6km/h(5'39/km) 夕方ジョッグ（勅使池周辺探索ジョッグ～鳴海CC～）Sortie(旧),17.3km /99分
週合計,,45.4km /4時間26分
2023-02-13月,1km /6分 10.4km/h(5'46/km) 通勤ジョッグ,1km /6分
2023-02-14火,2km /11分 10.6km/h(5'38/km) 通勤ジョッグ,2km /11分
2023-02-15水,2.1km /12分 10.1km/h(5'55/km) 通勤ジョッグ,2.1km /12分
2023-02-16木,11km /60分 11.0km/h(5'27/km) 夜ジョッグ（赤池～天白川～蟹甲～折戸）Evoride,11km /60分
2023-02-17金,2km /13分 9.4km/h(6'22/km) 通勤ジョッグ,2km /13分
2023-02-18土,30.5km /177分 10.3km/h(5'48/km) 朝ジョッグ（愛知用水～扇川～天白川）Evoride,30.5km /177分
2023-02-19日,12.8km /61分 12.6km/h(4'46/km) 夕方ジョッグ（愛知池弾丸ラン）〇32'24 Sortie(旧),12.8km /61分
週合計,,61.4km /5時間40分
2023-02-20月,1.8km /11分 10.2km/h(5'53/km) 通勤ジョッグ,1.8km /11分
2023-02-21火,1.7km /10分 10.5km/h(5'42/km) 通勤ジョッグ,1.7km /10分
2023-02-22水,1.8km /11分 10.2km/h(5'52/km) 通勤ジョッグ,1.8km /11分
2023-02-23木,1.9km /12分 9.7km/h(6'12/km) 通勤ジョッグ,1.9km /12分
2023-02-24金,8.5km /59分 8.7km/h(6'52/km) 夕方ジョッグ（実家周辺）w/小太郎 Evoride,8.5km /59分
2023-02-25土,12.9km /68分 11.3km/h(5'17/km) 夕方ジョッグ（境川～若王子池～ららぽ）Evoride,12.9km /68分
2023-02-26日,12.2km /61分 12.1km/h(4'57/km) 夕方ジョッグ（愛知池弾丸ラン）〇34'25 Sortie(旧),12.2km /61分
週合計,,40.8km /3時間49分
2023-02-27月,1.6km /11分 8.6km/h(6'58/km) 通勤ジョッグ,1.6km /11分
2023-02-28火,2km /11分 10.5km/h(5'44/km) 通勤ジョッグ,2km /11分
週合計,,3.6km 22分
月合計,206.2km/19時間35分,206.2km/19時間35分
